taxon	P7	P8	P10	P14	P23	P25	P34	P35	P52	P55	P59	P61	P63	P67	P68	P69	P24	P28	P30	P32	P46	P53	P54	P66
Aquifex	-0.822839098140426	0.555677630107778	-0.0511223852401124	0.125683959758689	-0.468845130327776	-0.822839098140426	-0.822839098140426	0.456314615803709	-0.3985355283251	1.63241610261015	3.51001043359444	-0.822839098140426	0.535694971074407	0.265000695951566	0.520831121511836	-0.822839098140426	0.462057932045614	-0.822839098140426	-0.0461825150925635	-0.822839098140426	-0.822839098140426	0.531812391135788	-0.588476464047373	-0.459625045437647
Arachidicoccus	-0.521810132018946	0.902132008444018	-0.0244895854706614	-0.475984857640715	-1.25990954747553	-0.328784788783766	-0.529862967785561	0.115212666667691	-0.572628315865178	0.567530518542809	0.178525428024837	0.0660827204164459	2.59946539007925	0.670898156184353	-0.479488572131138	-0.633377790294611	2.63243402546628	0.254521044007503	-0.471458359058573	-0.505596340981404	-1.25990954747553	-0.790366712131184	-0.926588229595383	0.793453788875013
Arachnia	-0.177405696625774	-0.85263310103645	1.68126869391822	-0.324679004489165	0.232515369422545	1.37683530491886	0.192383008442369	-1.45057957605666	-0.943459574738959	0.0891996967306109	-1.09025035239968	0.154389896954876	-0.599321625761708	-0.0396263760137825	-0.394594433796673	-0.549823918808152	-1.45057957605666	0.551188907088577	0.548895344324485	1.70458984020232	-0.813781997711523	1.86314177010202	-0.971432059920848	1.26375946131116
Arcanobacterium	-0.56678521191184	-0.438100234740296	-0.714810773212749	-0.890592533458753	-0.111491017925928	2.39730977097197	1.99502191284511	-0.742973953668803	-0.0871923345711924	1.86313441450268	0.49518603448289	-0.890592533458753	-0.626837374993864	0.232459853268363	-0.114829911283564	1.16969855082818	0.123450161509348	-0.890592533458753	-0.467017800625731	1.14851644935217	-0.890592533458753	-0.608465579439788	-0.890592533458753	-0.493310288093192
Archaeoglobus	-0.460227443716556	0.199144590734928	-0.0853396840924158	-0.727562160267399	-0.633134316620333	-0.00313827972966479	-0.768872013019498	0.338713136893229	-0.537142118003092	2.17058977142997	1.65482770211395	-0.986671827552425	0.401314217357377	0.355823319516472	-0.0815703221483335	0.380541100441411	-0.685064660480089	2.96362817175222	-0.651118994933421	-0.72318403951291	-0.986671827552425	-0.660572527923772	0.103679003149332	-0.577990797836557
Archangium	-0.0292071250534133	-0.677293318980147	-0.218173215079402	-0.361120536565167	-0.0296079218072457	-0.565747757723336	-0.126714412608621	-0.571178471325826	-0.291476778469111	-0.795556957700343	-0.658632311327826	-0.289435995109299	2.36827221114426	-0.537305720394205	-0.0872204572374404	-0.189324247628353	0.697906685330479	-0.37865366419041	-0.189983279931989	1.46762952988078	-0.565600438691164	3.25486796991994	-0.478630804971004	-0.747812981481152
Arcobacter	-1.28693177079784	-0.258153418170657	2.4001985822279	-1.04172362541643	0.0615411404650295	-0.877875439121882	-0.527519696570219	0.264265919010063	-0.697252775809132	1.0022980466595	-0.76721574992489	0.667065226512881	-0.733619327242699	0.938376507904934	0.0165831582123066	-0.291271865570373	0.487974726377297	0.97479329942457	-0.180849621759901	0.279836852252944	2.30681151461939	-1.14027938184543	-0.593618805332145	-1.00343349610523
Arenibacter	2.58073275489889	0.17944661677229	-0.370344788712255	1.12141208773861	-0.774640341305687	-0.666263206000738	-0.176361850772372	-0.462370383611416	-0.018315297706987	1.17884155149474	-0.0985491050868603	-1.01952760705202	-0.0402454919742075	2.50190841731646	0.337781381060426	-0.627135348004987	-1.01952760705202	-0.173384212841654	-0.353784639823297	-1.01952760705202	0.820985047735496	-0.640998325742614	-1.01952760705202	-0.240604437225737
Aromatoleum	-0.6643974868769	-0.219011615297526	-0.605691595809629	1.32860411103864	-0.463514472162763	0.0671388045427121	-0.846484990383695	-0.461257722032202	0.259128920927509	-0.521845868984653	0.257510336583769	0.978950251507499	0.821625274200256	3.61147115307184	-0.846484990383695	-0.364000052911306	0.20343728083567	-0.236096464551315	-0.0985085490091291	-0.846484990383695	-0.846484990383695	-0.846484990383695	0.871258789167169	-0.532376142321171
Arsenicicoccus	-0.670161692094407	-0.20129405081677	1.7298584913825	2.15780390445318	2.56523178586833	1.36410330478892	-0.0799440296947097	-0.519737403911157	-0.654328125098282	-0.884296573804536	0.846981345608927	-0.884296573804536	-0.884296573804536	-0.215547434950248	-0.231663339666368	-0.884296573804536	-0.00899631403274935	0.0554693316242976	-0.884296573804536	-0.17166082149274	-0.312388338601649	-0.884296573804536	-0.262987001932707	-0.0849601686071532
Arsenophonus	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	3.1085982543176	-0.35174532131363	-0.35174532131363	-0.35174532131363	1.24809300745026	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	3.02996048581837	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363	-0.35174532131363
Arthrobacter	0.663752512406624	1.18684705599548	-0.159894479822344	-0.596807644063175	-0.863953192321135	-0.772669800829089	-1.11572844688676	1.86529275156158	1.42161063913519	-0.570710487511378	0.0398346605072472	1.12265444148166	-0.378182468907293	-0.46596665421969	-0.292758811317977	-0.429856643611348	2.23627918804234	-0.686492571704641	-0.930366428451413	1.30259279541656	-1.33172778142978	-0.136493038119422	-0.659785299416513	-0.447470295934706
Asaia	-0.0884267894392478	-0.47604595664463	0.768823561135386	-0.100832760236908	-0.333957159099174	0.485893671716533	-0.349430196392089	-0.841464008402333	3.28273279851425	-0.575463484931029	-0.841464008402333	-0.841464008402333	0.165494400552213	0.259628322810746	-0.450321454204476	2.43708533330901	-0.638526634407814	-0.29391349621433	-0.562488454943679	-0.222386675876689	-0.245828354975711	-0.841464008402333	0.676951675142122	-0.373132312205159
Asticcacaulis	-0.523412106098757	0.696218644306485	0.0682280971559696	-0.8442583385851	-0.274248948463183	-0.8442583385851	0.0633925162474706	0.310546844847937	-0.398929694856802	0.0905813760603843	1.04378049308246	0.0609236241735403	0.785373337618621	3.73062075814948	0.792840435482575	-0.8442583385851	0.489639968943704	-0.8442583385851	-0.263726015690031	-0.8442583385851	-0.536693500025371	-0.8442583385851	-0.225327460838782	-0.8442583385851
